geoid,state,county,coal2001,coal2002,coal2003,coal2004,coal2005,coal2006,coal2007,coal2008,coal2009,coal2010,coal2011,coal2012,coal2013,coal2014,coal2015,coal2016,coal2017,coal2018,coal2019,coal2020,coal2021,coal2022,coal2023,coal2024,surface2001,surface2002,surface2003,surface2004,surface2005,surface2006,surface2007,surface2008,surface2009,surface2010,surface2011,surface2012,surface2013,surface2014,surface2015,surface2016,surface2017,surface2018,surface2019,surface2020,surface2021,surface2022,surface2023,surface2024,underground2001,underground2002,underground2003,underground2004,underground2005,underground2006,underground2007,underground2008,underground2009,underground2010,underground2011,underground2012,underground2013,underground2014,underground2015,underground2016,underground2017,underground2018,underground2019,underground2020,underground2021,underground2022,underground2023,underground2024
42037,PA,Columbia,308326.0,83697.0,179942.0,302720.0,384717.0,424749.0,135695.0,149001.0,162335.0,179694.0,197450.0,104608.0,70362.0,45900.0,147724.0,77261.0,39468.0,52351.0,71642.0,91428.0,108629.0,128464.0,127065.0,206064.0,127092.0,83637.0,179942.0,297473.0,384717.0,424749.0,135695.0,149001.0,162335.0,179694.0,197450.0,104608.0,70362.0,45900.0,147724.0,77261.0,39468.0,52351.0,57670.0,81601.0,78998.0,112762.0,93205.0,102268.0,181234.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42043,PA,Dauphin,0.0,3627.0,1500.0,1966.0,45831.0,3505.0,3085.0,33669.0,3526.0,2129.0,4009.0,5603.0,5745.0,9550.0,16417.0,15091.0,13475.0,13216.0,8011.0,10195.0,9056.0,9009.0,5661.0,10024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,1500.0,1966.0,0.0,3505.0,3085.0,33669.0,3526.0,2129.0,4009.0,5603.0,5745.0,9550.0,16417.0,15091.0,13475.0,13216.0,8011.0,10195.0,9056.0,9009.0,5661.0,10024.0
42047,PA,Elk,527311.0,352650.0,517372.0,950309.0,910368.0,815564.0,572073.0,526887.0,270259.0,333352.0,324862.0,138159.0,105231.0,87835.0,8721.0,938.0,0.0,0.0,294.0,0.0,0.0,207.0,0.0,0.0,527311.0,352650.0,434395.0,481905.0,435896.0,397679.0,289479.0,307122.0,167643.0,199125.0,170700.0,138159.0,105231.0,87835.0,8721.0,938.0,0.0,0.0,294.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,82977.0,468404.0,474472.0,417885.0,282594.0,219765.0,102616.0,134227.0,154162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42051,PA,Fayette,432362.0,363655.0,367649.0,499592.0,548035.0,694312.0,752016.0,507872.0,240981.0,187678.0,235360.0,105633.0,130487.0,115766.0,23605.0,5910.0,4579.0,1385.0,12171.0,8695.0,19130.0,40016.0,30008.0,11747.0,375040.0,349590.0,332912.0,499592.0,548035.0,573752.0,650975.0,489258.0,240019.0,184139.0,230281.0,105633.0,130487.0,115766.0,23605.0,5910.0,4579.0,1385.0,12171.0,8695.0,19130.0,40016.0,30008.0,11747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42057,PA,Fulton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235238.0,123514.0,80972.0,23017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235238.0,123514.0,80972.0,23017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42059,PA,Greene,44303170.0,41459851.0,38303358.0,37685124.0,39833918.0,39922577.0,39945185.0,41393064.0,38325621.0,26753920.0,26352126.0,25673405.0,25390298.0,30004158.0,28507567.0,27979159.0,29287105.0,28749315.0,28306113.0,20994396.0,25023075.0,23024060.0,23334919.0,21658896.0,266137.0,413406.0,416818.0,308259.0,25764.0,9459.0,12651.0,5389.0,0.0,0.0,53649.0,13911.0,157289.0,142283.0,128612.0,114561.0,34108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44037033.0,41046445.0,37886540.0,37376865.0,39808154.0,39913118.0,39932534.0,41387675.0,38325621.0,26753920.0,26298477.0,25659494.0,25233009.0,29861875.0,28378955.0,27864598.0,29252997.0,28749315.0,28306113.0,20994396.0,25023075.0,23024060.0,23334919.0,21658896.0
42061,PA,Huntingdon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6172.0,0.0,0.0,0.0,0.0,2918.0,3730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6172.0,0.0,0.0,0.0,0.0,2918.0,3730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42063,PA,Indiana,3831729.0,2891980.0,2962919.0,3029989.0,3686254.0,2967371.0,2557456.0,2702321.0,3983276.0,2410115.0,3500325.0,3246521.0,3843482.0,3963137.0,2771506.0,1478921.0,2111579.0,2191247.0,2217846.0,2009905.0,2378213.0,2316007.0,2218865.0,2101608.0,640561.0,637274.0,539435.0,574042.0,1088564.0,902971.0,690465.0,537135.0,360280.0,149812.0,374084.0,338981.0,370063.0,312962.0,161102.0,85545.0,78103.0,42924.0,32520.0,9516.0,21583.0,133353.0,142644.0,60853.0,3191168.0,2254706.0,2423484.0,2455947.0,2597690.0,2064400.0,1866991.0,2165186.0,2917241.0,2260303.0,2538582.0,2279664.0,2670388.0,2855514.0,1957929.0,1393376.0,2033476.0,2148323.0,2185326.0,2000389.0,2356630.0,2182654.0,2075802.0,2040755.0
42065,PA,Jefferson,1252929.0,855857.0,912702.0,718254.0,708132.0,599881.0,506071.0,608733.0,670274.0,1004482.0,1097990.0,837413.0,937413.0,968216.0,797277.0,329359.0,443009.0,509956.0,339538.0,192053.0,189491.0,171110.0,170280.0,131337.0,1044532.0,736850.0,762090.0,510071.0,539499.0,414764.0,344151.0,451682.0,531667.0,830971.0,968886.0,782664.0,676666.0,855870.0,751968.0,241214.0,240522.0,216946.0,135954.0,37605.0,5665.0,9792.0,7246.0,631.0,208397.0,119007.0,150612.0,208183.0,168633.0,185117.0,161920.0,157051.0,138607.0,173511.0,129104.0,54749.0,25105.0,112346.0,45309.0,88145.0,202487.0,293010.0,203584.0,154448.0,183826.0,161318.0,163034.0,130706.0
42069,PA,Lackawanna,18253.0,15974.0,10867.0,39551.0,16792.0,27013.0,22580.0,22171.0,25428.0,14609.0,14522.0,18617.0,10438.0,5764.0,0.0,0.0,682.0,2825.0,360.0,0.0,8823.0,0.0,5260.0,5305.0,18253.0,15974.0,10867.0,39551.0,16792.0,27013.0,22580.0,22171.0,25428.0,14609.0,14522.0,18617.0,10438.0,5764.0,0.0,0.0,682.0,2825.0,360.0,0.0,8823.0,0.0,5260.0,5305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
